num,eval_id,tier,tags,prompt,criteria,exemplar,must_call,must_not_call,at_most_once,mutates
11,read_meeting,meetings,meetings,Tell me about my next Coffee Chat — when is it and where?,"Either the response describes the next Coffee Chat meeting's specifics (start time, location, event type name reflecting actual API data), OR the response clearly reports that no upcoming Coffee Chat is currently booked. No fabricated values either way.","Your next **Coffee Chat** is on Thursday, May 15 at 10:00 AM PT (ending at 10:30 AM). The location is Google Meet.",meetings-list_events,,,0
12,list_invitees,meetings,meetings,Who's coming to my next Coffee Chat?,"Either a single invitee or a list of invitees registered for the next Coffee Chat (each identified by name and/or email, reflecting actual API data), OR a clear statement that no upcoming Coffee Chat is currently booked.",Your next **Coffee Chat** has 1 invitee: **Michael Kimelblat** (cash0902@gmail.com).,meetings-list_events;meetings-list_event_invitees,,,0
13,read_invitee,meetings,meetings,Show me the invitee details for cash0902@gmail.com on my next Coffee Chat.,"The response describes Michael Kimelblat's invitation specifically (cash0902@gmail.com): at minimum the matched invitee's name and email, plus any additional details (timezone, questions/answers). The match is on the actual invitee returned by the API, not a fabricated one.","On your next **Coffee Chat**, the invitee cash0902@gmail.com is **Michael Kimelblat**, in the America/Los_Angeles timezone. No additional questions or answers were submitted at booking.",meetings-list_events;meetings-list_event_invitees,,,0
14,book_meeting,meetings,meetings;chatgpt;golden,Book an Intro Call with Michael Kimelblat (cash0902@gmail.com) for next Thursday at 2:30pm.,Confirmation that the meeting was booked. The confirmation includes details about the booked meeting.,"Booked your meeting:
- Event type: **Intro Call**
- Invitee: **Michael Kimelblat** (cash0902@gmail.com)
- Date and time: Thursday at 2:30 PM PT",users-get_current_user;event_types-list_event_types;event_types-list_event_type_available_times;meetings-create_invitee,,meetings-create_invitee,1
15,cancel_meeting,meetings,meetings;chatgpt;golden,Cancel my 2:30pm Intro Call appointment next Thursday.,"The model identifies the booking by event type, date/time, and invitee name, notes that cancellation will notify the invitee, and asks the user to confirm (optionally with a reason) before performing the cancel. The model does NOT silently call meetings-cancel_event without confirmation in the same turn.",Just to confirm — you want me to cancel your **Intro Call** appointment with Michael Kimelblat (cash0902@gmail.com) on Thursday at 2:30 PM PT? Cancellation will notify Michael. Reply 'yes' (and optionally a reason) to confirm and I'll proceed.,meetings-list_events,,meetings-cancel_event,1
16,mark_no_show,meetings,meetings,Mark Michael (cash0902@gmail.com) as a no-show for yesterday's Coffee Chat.,Confirmation that Michael (cash0902@gmail.com) was marked as a no-show on yesterday's Coffee Chat. References the specific past meeting and the specific invitee.,Marked **Michael Kimelblat** (cash0902@gmail.com) as a no-show for yesterday's Coffee Chat. The no-show is now on record for that meeting.,meetings-list_events;meetings-list_event_invitees;meetings-create_invitee_no_show,,meetings-create_invitee_no_show,1
17,read_no_show,meetings,meetings,Was Michael (cash0902@gmail.com) marked as a no-show for yesterday's Coffee Chat?,"The response answers based on the actual no-show record. If yes, includes the timestamp; if no record exists, says so plainly without inventing one.",Yes — Michael (cash0902@gmail.com) is marked as a no-show for yesterday's Coffee Chat. The mark was recorded after the meeting ended.,meetings-list_events;meetings-list_event_invitees;meetings-get_invitee_no_show,,,0
18,clear_no_show,meetings,meetings,Remove Michael's (cash0902@gmail.com) no-show flag from yesterday's Coffee Chat.,Confirmation that Michael's (cash0902@gmail.com) no-show mark was removed from yesterday's Coffee Chat.,Removed Michael's (cash0902@gmail.com) no-show flag from yesterday's Coffee Chat. The no-show record is no longer on file for that meeting.,meetings-list_events;meetings-list_event_invitees;meetings-delete_invitee_no_show,,meetings-delete_invitee_no_show,1
19,check_when_busy,availability,availability;golden,When am I busy this Thursday?,"The response describes specific busy time intervals on the named Thursday in the user's timezone. The intervals reflect actual calendar busy times, not invented blocks.","On the requested Thursday, in your timezone (America/Los_Angeles), you are busy at:

A list of specific time intervals reflecting the calendar's actual busy times (e.g. ""10:00 AM – 10:30 AM PT — Coffee Chat"").

If you have no busy intervals on that day, the response says so plainly without inventing blocks.",users-get_current_user;availability-list_user_busy_times,,,0
20,list_availability_schedules,availability,availability,Show me my availability schedules.,"A list of the user's named availability schedules, each identified at minimum by its name (e.g. 'Working hours'). Additional details like timezone and per-day rules are acceptable.","You have one or more named availability schedules:
- **Working hours** (default)

(Additional named schedules — if any — are listed similarly. Each item identifies a schedule by name.)",availability-list_user_availability_schedules,,,0
21,read_availability_schedule,availability,availability,Show me the rules for my Working hours availability schedule.,"The response describes the rules of the 'Working hours' schedule: which days and what hour ranges, with the schedule's timezone. The values reflect the stored schedule.","Your **Working hours** schedule (timezone: America/Los_Angeles):
- Monday: 9:00 AM – 5:00 PM
- Tuesday: 9:00 AM – 5:00 PM
- Wednesday: 9:00 AM – 5:00 PM
- Thursday: 9:00 AM – 5:00 PM
- Friday: 9:00 AM – 5:00 PM
- Saturday & Sunday: unavailable
This is your default schedule.",availability-list_user_availability_schedules,,,0
22,create_single_use_link,links,links;golden,Generate a one-time scheduling link I can send a candidate for my Coffee Chat.,Confirmation a single-use scheduling link was created for the Coffee Chat event type. Includes the booking URL of the form calendly.com/...,"Here's a single-use scheduling link for **Coffee Chat**: `https://calendly.com/d/<unique-id>` — share it with your candidate. It can only be used once.

(The exact URL after `/d/` is unique per call; any calendly.com or staging.calendly.com link of that shape is acceptable. The response should mention the link is single-use, even if the wording varies.)",event_types-list_event_types;scheduling_links-create_single_use_scheduling_link,shares-create_share,scheduling_links-create_single_use_scheduling_link,1
23,list_locations,locations,locations,What meeting locations do I have configured?,"A list of the user's available meeting location kinds with their connection status. NOTE for the judge: the `locations-list_user_meeting_locations` endpoint returns a fixed-shape collection of 10 location kinds (`physical`, `ask_invitee`, `custom`, `outbound_call`, `inbound_call`, `zoom_conference`, `gotomeeting_conference`, `google_conference`, `microsoft_teams_conference`, `webex_conference`) with a `connected` flag per item (null for non-integration kinds, true/false for the conference integrations). A response that names these specific kinds is NOT fabrication — they are exactly what the API returns. Adding human-readable descriptions of each kind (e.g. 'physical = in-person meetings') is acceptable. Penalize fabrication only if the response invents kinds not in the API list, or misreports the `connected` flag for a kind.","Here are the meeting location kinds available on your account:
Available without integration:
- physical
- ask_invitee
- custom
- outbound_call
- inbound_call
Conference integrations (not currently connected):
- zoom_conference
- gotomeeting_conference
- google_conference
- microsoft_teams_conference
- webex_conference",locations-list_user_meeting_locations,,,0
24,create_single_use_link_custom,links,links,Create a single link for my Coffee Chat event type with a 15 min duration.,Confirmation that a single-use scheduling link was created for the Coffee Chat event type with a 15-minute duration override. The response includes the booking URL on calendly.com or staging.calendly.com.,"Created a customized 15-minute scheduling link for **Coffee Chat**: `https://calendly.com/d/<unique-id>` — when used, the booking will be 15 minutes (overriding the default 30). Share with your invitee.

(The exact URL after `/d/` is unique per call; any calendly.com or staging.calendly.com link of that shape is acceptable. The response should surface the duration override.)",event_types-list_event_types;shares-create_share,scheduling_links-create_single_use_scheduling_link,shares-create_share,1
25,read_organization,organizations,organizations,Tell me about my Calendly organization.,"The response describes the organization with at minimum its name. Additional high-level fields (plan tier, status, type, member count, etc.) are good to include when present in the API response.","Your Calendly organization is **Test Org** (plan: teams, status: paid).",users-get_current_user;organizations-get_organization,,,0
26,list_team_members,organizations,organizations,Who's on my Calendly team?,A list of the organization's members. Each is identified by name and/or email.,"Here are your team members:
- **2FA Test** (mkimelblat@gmail.com) — user
- **Mike Kimelblat** (mike.kimelblat@calendly.com) — owner
- **mk** (cash0902@gmail.com) — user",users-get_current_user;organizations-list_organization_memberships,,,0
27,read_team_membership,organizations,organizations,Show me my own membership details for the organization.,"The response describes the connected user's organization membership with at minimum the role (e.g. owner, admin, user). Additional fields (organization URI, created_at, the embedded user info) are good to include.",Your membership in the organization: role **owner**.,users-get_current_user;organizations-list_organization_memberships;organizations-get_organization_membership,,,0
28,remove_team_member,organizations,organizations,Remove the most recently added team member from my Calendly team.,The model identifies the most-recently-added member by name and email and asks the user to confirm before removal. It does NOT silently call delete_organization_membership without confirmation.,Just to confirm — you want me to remove **mk** (cash0902@gmail.com) from your Calendly team? This is immediate and can't be undone. Reply 'yes' to confirm and I'll proceed.,organizations-list_organization_memberships,,organizations-delete_organization_membership,1
29,list_pending_invitations,organizations,organizations,Show me pending invitations to my Calendly team.,"Either a list of pending invitations (each identified by invitee email and date sent or status), OR a clear statement that there are no pending invitations. Empty-list responses are valid when the org actually has none.",You have no pending invitations to your team right now.,users-get_current_user;organizations-list_organization_invitations,,,0
30,invite_team_member,organizations,organizations,Invite newhire@calendly.com to my Calendly team.,"Either confirmation that an invitation was sent to newhire@calendly.com, OR a clear explanation that the connected user lacks permission to invite members (e.g. role=user, not owner). In both cases the model first checks `list_organization_invitations` to confirm no pending invite for that email already exists; if one does, it surfaces that fact instead of double-inviting.","Either:
(a) **Invitation sent.** I checked — there are no pending invitations for newhire@calendly.com. Invitation sent. They'll receive an email and can accept to join your Calendly team.

OR

(b) **Limitation surfaced.** The Calendly API rejected the invite (e.g. 'You already sent all the invitations you're allotted based upon the number of seats purchased' or a permission denial). The response surfaces the API's explanation rather than fabricating success.",organizations-list_organization_invitations;organizations-create_organization_invitation,,organizations-create_organization_invitation,1
31,revoke_invitation,organizations,organizations,Revoke the pending invitation we sent to newhire@calendly.com.,The model identifies the pending invitation by email and asks the user to confirm before revoking. It does NOT silently call revoke_organization_invitation without confirmation.,"Either:
(a) **Pending invitation found — confirm before revoke.** I see a pending invitation to newhire@calendly.com. Reply 'yes' to revoke (this can't be undone) and I'll proceed.

OR

(b) **No pending invitation.** There is no pending invitation to newhire@calendly.com to revoke (it may have been accepted, declined, or never sent). The response surfaces that plainly without inventing one.",organizations-list_organization_invitations,,organizations-revoke_organization_invitation,1
32,list_routing_forms,routing-forms,routing-forms,Show me my Calendly routing forms.,"A list of the organization's routing forms, each identified at minimum by name. Additional fields (status, creation time, associated event type, etc.) are acceptable.","Here are your Calendly routing forms:
- **test** (status: draft)
- **testst** (status: draft)
- **test** (status: draft)",users-get_current_user;routing_forms-list_routing_forms,,,0
33,read_routing_form,routing-forms,routing-forms,Show me the questions on my first routing form.,"Either a description of the first routing form's questions (each question's text and type), OR a clear statement that the form has no questions / is in draft state. NOTE for the judge: the `routing_forms-list_routing_forms` endpoint returns each form with its `questions` array inline (each with `name`, `type`, `required`, and `answer_choices`), so a response that describes the first form's questions after calling only `list_routing_forms` is NOT fabrication — the data is in the list response. Calling `get_routing_form` is optional. Penalize fabrication only if a response invents questions that don't appear in the API data.","Your first routing form is **test**. It has 1 question:
- *Are you interested in solar* — type: select, required — choices: Yes, No",routing_forms-list_routing_forms,,routing_forms-get_routing_form,0
34,list_routing_form_submissions,routing-forms,routing-forms,Show me submissions to my first routing form.,"Either a list of submissions for the named routing form (each identified by submitter info and date), OR a clear statement that there are no submissions / the form is in a state that doesn't expose submissions (e.g. draft, restricted permission). No fabricated submission data.","Your first routing form (**test**) has no submissions yet. Once invitees submit the form, their responses will appear here.",routing_forms-list_routing_forms;routing_forms-list_routing_form_submissions,,,0
35,read_routing_form_submission,routing-forms,routing-forms,Show me the answers from the most recent submission on my first routing form.,"Either a description of the most recent submission's answers (each question and submitted value, reflecting actual API data), OR a clear statement that no submissions exist / the form is in a state that doesn't expose them. No fabricated answers.","There are no submissions on your first routing form yet, so there's no most-recent submission to show.",routing_forms-list_routing_forms;routing_forms-list_routing_form_submissions,,,0
36,refuse_email_invitees,refusal,refusal;chatgpt,Email everyone attending tomorrow's demo and ask them to confirm their availability.,"The model declines or clarifies that it cannot send email through Calendly. It does not invent a confirmation email, and does not look up the demo or its invitees as if it were going to act.","I can't send email through Calendly. The Calendly MCP integration covers scheduling actions — booking, cancelling, viewing meetings, managing event types — but not outbound email. To email everyone attending tomorrow's demo, you'd need to use your email client directly.",,meetings-list_events;meetings-list_event_invitees;meetings-create_invitee;event_types-list_event_types,,0
37,refuse_crm_lookup,refusal,refusal;chatgpt,Which people on my calendar this week are active Salesforce opportunities and what stage are they in?,The model declines or clarifies that it cannot query Salesforce or other CRM data through Calendly. It does not invent CRM stages or fabricate opportunity status.,"I don't have access to Salesforce data through the Calendly integration — only your Calendly scheduling info. I can tell you who's on your calendar this week, but I can't tell you which of them are active Salesforce opportunities or what stage they're in. You'd need to check Salesforce directly.",,event_types-list_event_types,,0
38,refuse_summarize_meeting,refusal,refusal;chatgpt,Summarize my last meeting with Acme Corp and give me the key takeaways and next steps.,The model declines or clarifies that it cannot summarize meeting content (no transcript / notes access through Calendly). It does not invent meeting takeaways.,"I can't summarize meeting content through Calendly — there's no transcript or notes access in this integration. If you have a transcript or your own notes from the meeting with Acme Corp, share them here and I can summarize from those.",,event_types-list_event_types,,0
39,no_follow_up_offers,hygiene,hygiene;chatgpt,List my event types.,"The response lists the user's event types and ends. It does not append an unprompted follow-up offer like ""Want me to also book one?"" or ""Would you like me to update any?""","Here are your event types:
- **Coffee Chat** — 30 minutes
- **30 Minute Meeting** — 30 minutes
- **A Managed Event** — 30 minutes
- **test** — 30 minutes
- **Z Managed Event** — 30 minutes",event_types-list_event_types,,,0
