case_id,prompt_index,prompt
create_event_type,7,"Create a new event called Discovery Call, 60 min, Google Meet"
update_event_type_schedule,1,Remove Thursdays from my Coffee Chat event type's availability
update_event_type_schedule,2,Stop offering Coffee Chats on Fridays
update_event_type_schedule,3,Drop Thursday from my Coffee Chat schedule
update_event_type_schedule,4,take thursday off coffee chat availability
update_event_type_schedule,5,I don't want Coffee Chats on Thursdays anymore
update_event_type_schedule,6,Make my Coffee Chat unavailable on Thursdays
update_event_type_schedule,7,Remove Thursday availability for Coffee Chat
cancel_meeting,1,Cancel my next Coffee Chat
cancel_meeting,2,Cancel my upcoming Coffee Chat
cancel_meeting,3,Drop my Coffee Chat with cash0902
cancel_meeting,4,cancel my next coffee chat
cancel_meeting,5,I need to cancel the Coffee Chat with cash0902
cancel_meeting,6,Pull the plug on my next Coffee Chat
cancel_meeting,7,Cancel my next upcoming meeting
book_meeting,1,Book a Coffee Chat with cash0902@gmail.com for the next available slot
book_meeting,2,Set up a 30-min Coffee Chat with cash0902@gmail.com — next available slot
book_meeting,3,Schedule cash0902@gmail.com into my Coffee Chat at the next available time
book_meeting,4,book cash0902@gmail.com into next available coffee chat slot
book_meeting,5,Book the next available Coffee Chat with cash0902@gmail.com
book_meeting,6,Get cash0902@gmail.com on my calendar for a Coffee Chat at the next open slot
book_meeting,7,Schedule a Coffee Chat with cash0902@gmail.com at the next available time
invite_team_member,1,Invite newhire@calendly.com to my Calendly team
invite_team_member,2,Add newhire@calendly.com as a team member on Calendly
invite_team_member,3,Send a Calendly team invite to newhire@calendly.com
invite_team_member,4,invite newhire@calendly.com
invite_team_member,5,I want newhire@calendly.com on my Calendly team
invite_team_member,6,Get newhire@calendly.com onto our Calendly org
invite_team_member,7,Add newhire@calendly.com to the Calendly team
list_routing_form_submissions,1,Show me submissions to my first routing form
list_routing_form_submissions,2,List submissions on my routing form
list_routing_form_submissions,3,"What submissions do I have on my ""test"" routing form?"
list_routing_form_submissions,4,show me my routing form responses
list_routing_form_submissions,5,Pull up the submissions for my routing form
list_routing_form_submissions,6,Who's submitted my routing form?
list_routing_form_submissions,7,List recent submissions to my routing form
list_availability_schedules,1,Show me my availability schedules
list_availability_schedules,2,List my Calendly availability schedules
list_availability_schedules,3,What named availability schedules do I have?
list_availability_schedules,4,show my availability schedules
list_availability_schedules,5,Pull up my availability schedules
list_availability_schedules,6,What schedules am I using on Calendly?
list_availability_schedules,7,List the availability rule sets I've set up
mark_no_show,1,Mark Michael (cash0902@gmail.com) as a no-show for the 9am Coffee Chat today
mark_no_show,2,Flag cash0902@gmail.com as a no-show for the 9am Coffee Chat today
mark_no_show,3,cash0902 didn't show up to my 9am coffee chat — mark them as a no-show
mark_no_show,4,Tag today's 9am Coffee Chat with cash0902 as a no-show
mark_no_show,5,Mark the 9am Coffee Chat with Michael as no-show
mark_no_show,6,Record cash0902@gmail.com as not having attended the 9am Coffee Chat today
mark_no_show,7,cash0902 was a no-show for the 9am coffee chat — mark it
